"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"ineat",2,NA,"power bi",NA,"Secteur informatique, ESN",59
"ineris",4,1,"french",NA,"Secteur Energie, Environnement",60
"inetum",31,7,"équipe",NA,"Secteur informatique, ESN",93
"inex",1,NA,"anglais",13200,NA,93
"infogene",10,1,"équipe",55875,"Secteur informatique, ESN",92
"informatis ts",3,NA,"sql",NA,NA,10
"infotel",4,7,"sql",49000,"Secteur informatique, ESN",29
"ingeniance",2,NA,"aws",NA,"Secteur informatique, ESN",92
"innovela",26,2,"spark",61250,NA,NA
"inpost",1,NA,"reporting",NA,NA,59
"inrae",1,NA,"modélisation",29900,NA,44
"inria",3,NA,"python",NA,NA,13
"insight",1,NA,"anglais",NA,NA,NA
"insitoo",2,NA,"équipe",NA,NA,59
"institut du cerveau",1,NA,"communication skills",NA,NA,75
"institut du cerveau et de la moelle epiniere",1,NA,"version control",NA,NA,75
"inventing for life",1,NA,"optimisation",NA,"Industrie Pharmaceutique, Biotechn., Chimie",75
"invivoo",1,NA,"excel",55000,NA,75
"ipsen",1,NA,"programming",NA,NA,92
"irt",2,NA,"intelligence artificielle",NA,"Industrie Manufacturière",44
"it&m stats",1,NA,"autonôme",NA,"Secteur informatique, ESN",75
"itnovem",1,NA,"git",NA,"Secteur informatique, ESN",93
"itw",1,NA,"sql",NA,NA,26
"ivalua",1,NA,"deep learning",NA,NA,91
"iziwork",3,NA,"excel",44166.6666666667,NA,44
"jcdecaux",6,0,"équipe",NA,"Média, Internet, Communication, Industrie Manufacturière",92
"job staging",2,7,"rigueur",NA,"Industrie high-tech, Telecom, Secteur informatique, ESN",56
"jobmania",1,1,"rapport",12000,"Services aux Entreprises, Média, Internet, Communication",75
"johnson & johnson",1,NA,"deep learning",NA,NA,92
"kaino",2,NA,"statistique",65000,NA,75
"kaino consulting",1,NA,"collaboration",NA,NA,75
"kanbios",12,2,"anglais",NA,NA,NA
"karos",7,3,"r studio",50000,NA,NA
"kaïbee",1,NA,"collaboration",105750,NA,75
"kelkoo ltd",1,NA,"deep learning",NA,"Secteur informatique, ESN",38
"kelly services",1,1,"collaboration",NA,"Industrie Pharmaceutique, Biotechn., Chimie",91
"keolis tours",1,NA,"équipe",NA,NA,37
"kering",1,NA,"statistics",NA,"Distribution, Commerce de gros",75
"kicklox",14,NA,"équipe",107687.5,NA,78
"klarys",1,NA,"deep learning",NA,NA,35
"klesia",1,NA,"excel",NA,NA,75
"klint",7,5,"équipe",65000,NA,NA
"know your people",1,NA,"programmation",42500,NA,59
"kpmg",15,0,"équipe",NA,NA,92
"kroissance",1,NA,"sql",40000,NA,31
"kumo",1,NA,"équipe",9000,NA,92
"kuribay",1,1,"équipe",NA,"Industrie Auto, Meca, Navale",69
"kyriba",2,NA,"statistics",NA,"Banque, Assurance, Finance",92
"l opcommerce",1,NA,"autonôme",44250,NA,75
"l organisation mondiale de la sante animale (oie)",1,NA,"database",NA,NA,75
"la banque postale",5,NA,"deep learning",NA,NA,75
"la belle iloise",1,NA,"reporting",NA,NA,56
"la poste",7,1,"équipe",NA,"Transport, Logistique",93
"la releve",7,4,"modélisation",720000,NA,NA
"la secu recrute",6,NA,"statistique",42550,NA,75
"lacoste",1,NA,NA,NA,"Distribution, Commerce de gros",75
"lafayette",2,0,"intelligence artificielle",20966.4,"Distribution, Commerce de gros",75
"lallemand",1,NA,"programmation",44776.06,NA,15
"langton howarth",1,NA,"autonomous",NA,NA,75
"latecoere",1,NA,"sql",NA,NA,31
"lcl",6,0,"équipe",NA,"Banque, Assurance, Finance",94
"le bon candidat recrutement",1,NA,"excel",45000,"Services aux Entreprises",94
"le groupe gcf",1,NA,"excel",NA,NA,67
"le telegramme",4,1,"collaboration",42500,"Média, Internet, Communication",29
"lefebvre",1,NA,"statistique",NA,NA,92
"lehibou",1,NA,"équipe",129250,NA,92
"lenovo france",1,NA,"git",NA,"Industrie high-tech, Telecom",40
"lesaffre",3,NA,"deep learning",NA,"Industrie Agro-alimentaire",59
"lhh recruitment solutions",3,7,"anglais",43000,"Services aux Entreprises",33
"liberty rider",44,NA,"python",NA,NA,31
"licorne society",2,NA,"git",NA,NA,75
"liebherr",2,1,"optimisation",NA,"Industrie Aéronautique, Aérospatial",31
"limagrain",2,1,"prévision",NA,"Industrie Agro-alimentaire",63
"lincoln",1,NA,"deep learning",NA,NA,69
"linkedin job wrapping",1,NA,"statistique",NA,NA,75
"liquide",8,0,"git",NA,NA,75
"lity",1,NA,"intelligence artificielle",90000,NA,75
"livingpackets",21,3,"statistique",41666.6666666667,NA,NA
"lne",1,NA,"français",NA,NA,75
